NORTH WIND BCK500 - SAMPLE BOAT TALLY (demonstration data only),,,
COD,*,,
,A1,18,690
,A2,34,1290
,A3,41,1560
,A4,22,840
HADDOCK,*,,
,A1,26,990
,A2,88,3340
,A3,132,5010
,A4,61,2320
WHITING,*,,
,A2,14,530
,A3,27,1030
,A4,12,455
MONKFISH,*,,
,A1,9,340
,A2,16,610
,A3,11,420
LING,*,,
,A1,12,455
,A2,21,800
,A3,9,340
SAITHE,*,,
,A2,24,910
,A3,46,1750
,A4,31,1180
POLLACK,*,,
,A2,11,420
,A3,17,645
HAKE,*,,
,A1,7,265
,A2,19,720
,A3,14,530
LEMON,*,,
,A1,6,230
,A2,13,495
,A3,8,305
MEGRIM,*,,
,A1,5,190
,A2,12,455
,A3,7,265
PLAICE,*,,
,A2,9,340
,A3,15,570
CATFISH,*,,
,U9,18,685
WITCH,*,,
,U9,6,230
HALIBUT,*,,
,U9,4,155
TOTAL,,825,31360
